[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
### Creating new features  task: 0 ###

New features norm: 3.859
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 99.6%, forg=  0.0%| TAg acc= 99.6%, forg=  0.0% <<<
>>> Test on task  0 : loss=0.000 | TAw acc= 99.5%, forg=  0.0%| TAg acc= 99.5%, forg=  0.0% <<<
Save at ../results/mnist_evo_02.18/alpha=1000
************************************************************************************************************
Task  1
************************************************************************************************************
### Training model task: 1 ###
Total: 11.66, Push: 0.49, Pull: 5.94, Adapter: 0.005, Wd: 0.11
Total: 10.09, Push: 0.49, Pull: 5.86, Adapter: 0.004, Wd: 0.11
Total: 9.38, Push: 0.49, Pull: 5.80, Adapter: 0.003, Wd: 0.11
Total: 8.97, Push: 0.50, Pull: 5.77, Adapter: 0.003, Wd: 0.11
Total: 8.70, Push: 0.50, Pull: 5.74, Adapter: 0.002, Wd: 0.11
Total: 8.51, Push: 0.50, Pull: 5.73, Adapter: 0.002, Wd: 0.11
Total: 8.36, Push: 0.50, Pull: 5.71, Adapter: 0.002, Wd: 0.11
Total: 8.23, Push: 0.51, Pull: 5.70, Adapter: 0.002, Wd: 0.11
Total: 8.13, Push: 0.51, Pull: 5.68, Adapter: 0.002, Wd: 0.11
Total: 8.03, Push: 0.51, Pull: 5.66, Adapter: 0.002, Wd: 0.11
Total: 7.96, Push: 0.51, Pull: 5.65, Adapter: 0.002, Wd: 0.11
Total: 7.89, Push: 0.51, Pull: 5.64, Adapter: 0.002, Wd: 0.11
Total: 7.83, Push: 0.51, Pull: 5.62, Adapter: 0.002, Wd: 0.11
Total: 7.77, Push: 0.51, Pull: 5.61, Adapter: 0.002, Wd: 0.11
Total: 7.72, Push: 0.51, Pull: 5.60, Adapter: 0.001, Wd: 0.11
Total: 7.68, Push: 0.51, Pull: 5.59, Adapter: 0.001, Wd: 0.11
Total: 7.63, Push: 0.52, Pull: 5.58, Adapter: 0.001, Wd: 0.11
Total: 7.59, Push: 0.52, Pull: 5.57, Adapter: 0.001, Wd: 0.11
Total: 7.55, Push: 0.52, Pull: 5.55, Adapter: 0.001, Wd: 0.11
Total: 7.52, Push: 0.52, Pull: 5.54, Adapter: 0.001, Wd: 0.11
Total: 7.48, Push: 0.52, Pull: 5.53, Adapter: 0.001, Wd: 0.11
Total: 7.45, Push: 0.52, Pull: 5.52, Adapter: 0.001, Wd: 0.11
Total: 7.42, Push: 0.52, Pull: 5.51, Adapter: 0.001, Wd: 0.11
Total: 7.39, Push: 0.52, Pull: 5.50, Adapter: 0.001, Wd: 0.11
Total: 7.36, Push: 0.52, Pull: 5.49, Adapter: 0.001, Wd: 0.11
Total: 7.33, Push: 0.52, Pull: 5.48, Adapter: 0.001, Wd: 0.11
Total: 7.31, Push: 0.53, Pull: 5.47, Adapter: 0.001, Wd: 0.11
Total: 7.28, Push: 0.53, Pull: 5.46, Adapter: 0.001, Wd: 0.11
Total: 7.26, Push: 0.53, Pull: 5.44, Adapter: 0.001, Wd: 0.11
Total: 7.24, Push: 0.53, Pull: 5.43, Adapter: 0.001, Wd: 0.11
Total: 7.21, Push: 0.53, Pull: 5.42, Adapter: 0.001, Wd: 0.11
Total: 7.19, Push: 0.53, Pull: 5.41, Adapter: 0.001, Wd: 0.11
Total: 7.17, Push: 0.53, Pull: 5.41, Adapter: 0.001, Wd: 0.11
Total: 7.15, Push: 0.53, Pull: 5.39, Adapter: 0.001, Wd: 0.11
Total: 7.14, Push: 0.53, Pull: 5.39, Adapter: 0.001, Wd: 0.11
Total: 7.12, Push: 0.53, Pull: 5.38, Adapter: 0.001, Wd: 0.11
Total: 7.10, Push: 0.53, Pull: 5.37, Adapter: 0.001, Wd: 0.11
Total: 7.08, Push: 0.54, Pull: 5.36, Adapter: 0.001, Wd: 0.11
Total: 7.06, Push: 0.54, Pull: 5.35, Adapter: 0.001, Wd: 0.11
Total: 7.05, Push: 0.54, Pull: 5.34, Adapter: 0.001, Wd: 0.11
Total: 7.03, Push: 0.54, Pull: 5.33, Adapter: 0.001, Wd: 0.11
Total: 7.02, Push: 0.54, Pull: 5.32, Adapter: 0.001, Wd: 0.11
Total: 7.00, Push: 0.54, Pull: 5.32, Adapter: 0.001, Wd: 0.11
Total: 6.99, Push: 0.54, Pull: 5.31, Adapter: 0.001, Wd: 0.11
Total: 6.97, Push: 0.54, Pull: 5.30, Adapter: 0.001, Wd: 0.11
Total: 6.96, Push: 0.54, Pull: 5.29, Adapter: 0.001, Wd: 0.11
Total: 6.95, Push: 0.54, Pull: 5.28, Adapter: 0.001, Wd: 0.11
Total: 6.93, Push: 0.54, Pull: 5.28, Adapter: 0.001, Wd: 0.11
Total: 6.92, Push: 0.54, Pull: 5.27, Adapter: 0.001, Wd: 0.11
Total: 6.91, Push: 0.54, Pull: 5.26, Adapter: 0.001, Wd: 0.11
Total: 6.90, Push: 0.55, Pull: 5.25, Adapter: 0.001, Wd: 0.11
Total: 6.88, Push: 0.55, Pull: 5.25, Adapter: 0.001, Wd: 0.11
Total: 6.87, Push: 0.55, Pull: 5.24, Adapter: 0.001, Wd: 0.11
Total: 6.86, Push: 0.55, Pull: 5.23, Adapter: 0.001, Wd: 0.11
Total: 6.85, Push: 0.55, Pull: 5.22, Adapter: 0.001, Wd: 0.11
Total: 6.84, Push: 0.55, Pull: 5.22, Adapter: 0.001, Wd: 0.11
Total: 6.83, Push: 0.55, Pull: 5.21, Adapter: 0.001, Wd: 0.11
Total: 6.81, Push: 0.55, Pull: 5.20, Adapter: 0.001, Wd: 0.11
Total: 6.80, Push: 0.55, Pull: 5.19, Adapter: 0.001, Wd: 0.11
Total: 6.79, Push: 0.55, Pull: 5.19, Adapter: 0.001, Wd: 0.11
Total: 6.78, Push: 0.55, Pull: 5.18, Adapter: 0.001, Wd: 0.11
Total: 6.77, Push: 0.55, Pull: 5.17, Adapter: 0.001, Wd: 0.11
Total: 6.76, Push: 0.55, Pull: 5.16, Adapter: 0.001, Wd: 0.11
Total: 6.75, Push: 0.56, Pull: 5.16, Adapter: 0.001, Wd: 0.11
Total: 6.74, Push: 0.56, Pull: 5.15, Adapter: 0.001, Wd: 0.11
Total: 6.73, Push: 0.56, Pull: 5.14, Adapter: 0.001, Wd: 0.11
Total: 6.72, Push: 0.56, Pull: 5.13, Adapter: 0.001, Wd: 0.11
Total: 6.71, Push: 0.56, Pull: 5.12, Adapter: 0.001, Wd: 0.11
Total: 6.70, Push: 0.56, Pull: 5.12, Adapter: 0.001, Wd: 0.11
Total: 6.69, Push: 0.56, Pull: 5.11, Adapter: 0.001, Wd: 0.11
Total: 6.68, Push: 0.56, Pull: 5.10, Adapter: 0.001, Wd: 0.11
Total: 6.67, Push: 0.56, Pull: 5.09, Adapter: 0.001, Wd: 0.11
Total: 6.66, Push: 0.56, Pull: 5.09, Adapter: 0.001, Wd: 0.11
Total: 6.65, Push: 0.56, Pull: 5.08, Adapter: 0.001, Wd: 0.11
Total: 6.64, Push: 0.56, Pull: 5.07, Adapter: 0.001, Wd: 0.11
Total: 6.63, Push: 0.57, Pull: 5.06, Adapter: 0.001, Wd: 0.11
Total: 6.62, Push: 0.57, Pull: 5.06, Adapter: 0.001, Wd: 0.11
Total: 6.61, Push: 0.57, Pull: 5.05, Adapter: 0.001, Wd: 0.11
Total: 6.60, Push: 0.57, Pull: 5.04, Adapter: 0.001, Wd: 0.11
